date,close
2019-07-17,117.55
2019-07-18,117.68
2019-07-19,117.81
2019-07-22,117.93
2019-07-23,118.06
2019-07-24,118.18
2019-07-25,118.31
2019-07-26,118.43
2019-07-29,118.56
2019-07-30,118.68
2019-07-31,118.81
2019-08-01,118.93
2019-08-02,119.06
2019-08-05,119.18
2019-08-06,119.31
2019-08-07,119.44
2019-08-08,119.56
2019-08-09,119.69
2019-08-12,119.81
2019-08-13,119.94
2019-08-14,120.06
2019-08-15,120.19
2019-08-16,120.31
2019-08-19,120.44
2019-08-20,120.56
2019-08-21,120.69
2019-08-22,120.82
2019-08-23,120.94
2019-08-26,121.07
2019-08-27,121.19
2019-08-28,121.32
2019-08-29,121.44
2019-08-30,121.57
2019-09-02,121.69
2019-09-03,121.82
2019-09-04,121.94
2019-09-05,122.07
2019-09-06,122.19
2019-09-09,122.32
2019-09-10,122.45
2019-09-11,122.57
2019-09-12,122.7
2019-09-13,122.82
2019-09-16,122.95
2019-09-17,123.07
2019-09-18,123.2
2019-09-19,123.32
2019-09-20,123.45
2019-09-23,123.57
2019-09-24,123.7
2019-09-25,123.82
2019-09-26,123.95
2019-09-27,124.08
2019-09-30,124.2
2019-10-01,124.33
2019-10-02,124.45
2019-10-03,124.58
2019-10-04,124.7
2019-10-07,124.83
2019-10-08,124.95
2019-10-09,125.08
2019-10-10,125.2
2019-10-11,125.33
2019-10-14,125.45
2019-10-15,125.58
2019-10-16,125.71
2019-10-17,125.83
2019-10-18,125.96
2019-10-21,126.08
2019-10-22,126.21
2019-10-23,126.33
2019-10-24,126.46
2019-10-25,126.58
2019-10-28,126.71
2019-10-29,126.83
2019-10-30,126.96
2019-10-31,127.08
2019-11-01,127.21
2019-11-04,127.34
2019-11-05,127.46
2019-11-06,127.59
2019-11-07,127.71
2019-11-08,127.84
2019-11-11,127.96
2019-11-12,128.09
2019-11-13,128.21
2019-11-14,128.34
2019-11-15,128.46
2019-11-18,128.59
2019-11-19,128.71
2019-11-20,128.84
2019-11-21,128.97
2019-11-22,129.09
2019-11-25,129.22
2019-11-26,129.34
2019-11-27,129.47
2019-11-28,129.59
2019-11-29,129.72
2019-12-02,129.84
2019-12-03,129.97
2019-12-04,130.09
2019-12-05,130.22
2019-12-06,130.34
2019-12-09,130.47
2019-12-10,130.6
2019-12-11,130.72
2019-12-12,130.85
2019-12-13,130.97
2019-12-16,131.1
2019-12-17,131.22
2019-12-18,131.35
2019-12-19,131.47
2019-12-20,131.6
2019-12-23,131.72
2019-12-24,131.85
2019-12-25,131.97
2019-12-26,132.1
2019-12-27,132.23
2019-12-30,132.35
2019-12-31,132.48
2020-01-01,132.6
2020-01-02,132.73
2020-01-03,132.85
2020-01-06,132.98
2020-01-07,133.1
2020-01-08,133.23
2020-01-09,133.35
2020-01-10,133.48
2020-01-13,133.61
2020-01-14,133.73
2020-01-15,133.86
2020-01-16,133.98
2020-01-17,134.11
2020-01-20,134.23
2020-01-21,134.36
2020-01-22,134.48
2020-01-23,134.61
2020-01-24,134.73
2020-01-27,134.86
2020-01-28,134.98
2020-01-29,135.11
2020-01-30,135.24
2020-01-31,135.36
2020-02-03,135.49
2020-02-04,135.61
2020-02-05,135.74
2020-02-06,135.86
2020-02-07,135.99
2020-02-10,136.11
2020-02-11,136.24
2020-02-12,136.36
2020-02-13,136.49
2020-02-14,136.61
2020-02-17,136.74
2020-02-18,136.87
2020-02-19,136.99
2020-02-20,137.12
2020-02-21,137.24
2020-02-24,137.37
2020-02-25,137.49
2020-02-26,137.62
2020-02-27,137.74
2020-02-28,137.87
2020-03-02,137.99
2020-03-03,138.12
2020-03-04,138.24
2020-03-05,138.37
2020-03-06,138.5
2020-03-09,138.62
2020-03-10,138.75
2020-03-11,138.87
2020-03-12,139.0
2020-03-13,139.12
2020-03-16,139.25
2020-03-17,139.37
2020-03-18,139.5
2020-03-19,139.62
2020-03-20,139.75
2020-03-23,139.87
2020-03-24,140.0
